Matrix Size ,Scalar 2D Time ,Scalar 1D Time ,SIMD Time ,Speedup (Scalar 2D / SIMD) ,Speedup (Scalar 1D / SIMD)
          8 ,      0.000002 ,      0.000002 , 0.000001 ,                      2.00 ,                      2.00
         64 ,      0.000010 ,      0.000005 , 0.000002 ,                      5.00 ,                      2.50
        256 ,      0.000261 ,      0.000112 , 0.000021 ,                     12.43 ,                      5.33
        512 ,      0.001181 ,      0.000600 , 0.000078 ,                     15.14 ,                      7.69
       1024 ,      0.006411 ,      0.005106 , 0.000677 ,                      9.47 ,                      7.54
       2048 ,      0.048934 ,      0.047324 , 0.003890 ,                     12.58 ,                     12.17
       4096 ,      0.268884 ,      0.228421 , 0.016784 ,                     16.02 ,                     13.61
       8192 ,      1.626150 ,      1.731006 , 0.059685 ,                     27.25 ,                     29.00
      16384 ,      6.774392 ,      7.585384 , 0.215897 ,                     31.38 ,                     35.13
