0,0116,East of Eden,John Steinbeck
1,0117,On the Road,Jack Kerouac
1,0118,Catch-22,Joseph Heller
1,0119,Around the World in Eighty Days,Jules Verne
1,0120,Hard Times,Charles Dickens
1,0121,Beloved,Toni Morrison
1,0122,Mrs. Dalloway,Virginia Woolf
1,0123,To the Lighthouse,Virginia Woolf
1,0124,The Magician's Nephew,C.S. Lewis
1,0125,Harry Potter and the Order of the Phoenix,J.K. Rowling
0,0126,The Sun Also Rises,Ernest Hemingway
1,0127,The Good Earth,Pearl S. Buck
1,0128,Silas Marner,George Eliot
0,0129,Love in the Time of Cholera,Gabriel García Márquez
1,0130,Rebecca,Daphne Du Maurier
1,0131,Jude the Obscure,Thomas Hardy
1,0132,Twilight,Stephenie Meyer
1,0133,A Passage to India,E.M. Forster
0,0134,The Plague,Albert Camus
0,0135,Nicholas Nickleby,Charles Dickens
0,0136,The Pearl,John Steinbeck
1,0137,Ethan Frome,Edith Wharton
1,0138,The Tale of Genji,Murasaki Shikibu
1,0139,The Giver,Lois Lowry
1,0140,The Alchemist,Paulo Coelho
1,0141,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
1,0142,Robinson Crusoe,Daniel Defoe
1,0143,Tender is the Night,F. Scott Fitzgerald
1,0144,The Idiot,Fyodor Dostoyevsky
1,0145,Hatchet,Gary Paulsen
0,0146,The Kite Runner,Khaled Hosseini
1,0147,One Flew Over the Cuckoo's Nest,Ken Kesey
1,0148,The Portrait of a Lady,Henry James
0,0149,The Outsiders,S.E. Hinton
1,0150,Ben-Hur,Lew Wallace
1,0151,The Mayor of Casterbridge,Thomas Hardy
1,0152,"Cry, The Beloved Country",Alan Paton
1,0153,The Last Battle,C.S. Lewis
0,0154,Captains Courageous,Rudyard Kipling
0,0155,The Castle,Franz Kafka
0,0156,The Metamorphosis,Franz Kafka
1,0157,The Magic Mountain (Der Zauberberg),Thomas Mann
1,0158,James and the Giant Peach,Roald Dahl
1,0159,The Horse and His Boy,C.S. Lewis
1,0160,Angels & Demons,Dan Brown
1,0161,The Voyage of the Dawn Treader,C.S. Lewis
1,0162,The Bell Jar,Sylvia Plath
1,0163,Women in Love,D.H. Lawrence
1,0164,The Yearling,Marjorie Kinnan Rawlings
1,0165,O Pioneers!,Willa Cather
0,0166,The Handmaid's Tale,Margaret Atwood
1,0167,The Moonstone,Wilkie Collins
1,0168,The Old Curiosity Shop,Charles Dickens
0,0169,Little Dorrit,Charles Dickens
1,0170,Prince Caspian: The Return to Narnia,C.S. Lewis
1,0171,Sister Carrie,Theodore Dreiser
1,0172,The Silver Chair,C.S. Lewis
1,0173,The Hunger Games,Suzanne Collins
0,0174,This Side of Paradise,F. Scott Fitzgerald
0,0175,Eugénie Grandet,Honoré de Balzac
0,0176,Of Human Bondage,W. Somerset Maugham
1,0177,Dream of the Red Chamber,Cao Xueqin
1,0178,Life of Pi,Yann Martel
1,0179,Harry Potter and the Deathly Hallows,J.K. Rowling
1,0180,Invisible Man,Ralph Ellison
1,0181,Steppenwolf,Hermann Hesse
1,0182,The Sorrows of Young Werther,Johann Wolfgang von Goethe
1,0183,Bridge to Terabithia,Katherine Paterson
1,0184,The Invisible Man,H.G. Wells
1,0185,Holes,Louis Sachar
0,0186,Siddhartha,Hermann Hesse
1,0187,A Tree Grows in Brooklyn,Betty Smith
1,0188,"Through the Looking-Glass, and What Alice Found There",Lewis Carroll
0,0189,In Cold Blood,Truman Capote
1,0190,The House of the Spirits,Isabel Allende
1,0191,Adam Bede,George Eliot
1,0192,The Betrothed,Alessandro Manzoni
1,0193,The Book Thief,Markus Zusak
0,0194,Their Eyes Were Watching God,Zora Neale Hurston
0,0195,One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenitsyn
0,0196,The Sea Wolf,Jack London
1,0197,Catching Fire,Suzanne Collins
1,0198,"Roll of Thunder, Hear My Cry",Mildred D. Taylor
1,0199,Death Comes for the Archbishop,Willa Cather
1,0200,The House of Mirth,Edith Wharton
1,0201,Light in August,William Faulkner
1,0202,The Pickwick Papers,Charles Dickens
1,0203,Remembrance of Things Past,Marcel Proust
1,0204,Barchester Towers and the Warden,Anthony Trollope
1,0205,The Bridge of San Luis Rey,Thornton Wilder
0,0206,The Help,Kathryn Stockett
1,0207,Murder on the Orient Express,Agatha Christie
1,0208,The Lovely Bones,Alice Sebold
0,0209,The Appeal,John Grisham
1,0210,Dombey And Son,Charles Dickens
1,0211,Slaughterhouse-Five,Kurt Vonnegut
1,0212,An American Tragedy,Theodore Dreiser
